"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","client_outreach_index","portfolio_depth_index","risk_penalty","inclusion_responsibility_score"
2012-09-01,"Global","observed",14038.5,4440.6,0,999,0,"PP.global",0.388004540169426,0.383656509695291,14052.5525525526,4445.04504504505,71.1614488727428,0.261039979095898,0.200980183727541,1,39.0814044666211
2012-10-01,"Global","observed",18614.42,5442.6,5.55,1318,0.000298155945766777,"PP.global",0.325955052177939,0.319319319319319,14123.2321699545,4129.43854324734,70.8053218956057,0.344395087535929,0.266490690001184,0.985092202711661,44.9163191310652
2012-11-01,"Global","observed",22189.75,4665.7,-5.55,1577,-0.000250115481246972,"PP.global",0.192073134698798,0.196509863429438,14070.8623969562,2958.59226379201,71.0688493561216,0.412072119153384,0.317676392197757,1,50.1338977236019
2012-12-01,"Global","observed",25579.33,4732.6,10.37,1765,0.000405405458235223,"PP.global",0.152754312238759,0.119213696892835,14492.5382436261,2681.3597733711,69.0010254373355,0.461196759864123,0.366202831002416,0.979729727088239,53.6405174650434
2013-01-01,"Global","observed",28607.98,4820.4,3.62,1946,0.000126538119783361,"PP.global",0.118402241184582,0.102549575070822,14700.914696814,2477.08119218911,68.0229782039836,0.508492291612229,0.40956206692124,0.993673094010832,57.5849384684653
2013-02-01,"Global","observed",31084.83,4399.6,44.98,2113,0.00144700807435653,"PP.global",0.0865789894987341,0.0858170606372046,14711.2304779934,2082.15806909607,67.975279260012,0.552129605435067,0.445021536812294,0.927649596282174,59.5101183017656
2013-03-01,"Global","observed",33965.7,5329.1,41.04,2320,0.00120827776256635,"PP.global",0.0926776823292903,0.0979649787032655,14640.3879310345,2297.02586206897,68.3042010027763,0.606218970472955,0.486265101430677,0.939586111871682,63.6906238040017
2013-04-01,"Global","observed",37836.39,6829.3,74.09,2536,0.00195816778503446,"PP.global",0.113958787835964,0.0931034482758621,14919.7121451104,2692.94164037855,67.0254218227479,0.66266004703423,0.541679282956648,0.902091610748277,67.4252130553765
2013-05-01,"Global","observed",40240.87,5195.2,100.4,2712,0.00249497587900063,"PP.global",0.0635494031010888,0.0694006309148265,14838.0789085546,1915.63421828909,67.3941691618496,0.708649072380455,0.576102678060769,0.875251206049969,70.2205580818452
2013-06-01,"Global","observed",41522.68,4456.8,18.63,2837,0.000448670461540536,"PP.global",0.0318534365683445,0.0460914454277286,14636.1226647867,1570.95523440254,68.3241062474773,0.741311732427489,0.594453528173231,0.977566476922973,74.4505220050308
