"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","month_index","maturity_stage","positive_mora","risk_adjusted_growth","disbursement_growth_mom","next_mora_rate","next_mora_change"
2013-11-01,"Ceja","observed",29102.1,3889.3,18.26,1779,0.000627446129317128,"PP.ceja",0.0513468189841471,0.0361094933022714,16358.6846543002,2186.22821810006,61.1296092034595,19,"Consolidation",0.000627446129317128,0.0507193728548299,-0.121855949424249,0.000589606637865434,-3.78394914516941e-05
2013-12-01,"Ceja","observed",30579.71,3974.8,18.03,1842,0.000589606637865434,"PP.ceja",0.0507733118915816,0.0354131534569984,16601.3626492942,2157.87187839305,60.2360192428247,20,"Consolidation",0.000589606637865434,0.0501837052537162,0.0219833903273083,0.00129703902891087,0.000707432391045432
2014-01-01,"Ceja","observed",31595.04,3832.6,40.98,1908,0.00129703902891087,"PP.ceja",0.0332027347545154,0.0358306188925082,16559.2452830189,2008.70020964361,60.3892256506084,21,"Consolidation",0.00129703902891087,0.0319056957256045,-0.0357753849250277,9.07397620411051e-05,-0.00120629926686976
2014-02-01,"Ceja","observed",32620.76,3914.4,2.96,1979,9.07397620411051e-05,"PP.ceja",0.032464589378586,0.0372117400419287,16483.4562910561,1977.96867104598,60.6668882024821,22,"Consolidation",9.07397620411051e-05,0.0323738496165449,0.0213432134843188,0,-9.07397620411051e-05
2014-03-01,"Ceja","observed",33352.14,3552.1,-46.17,2011,-0.00138431896723868,"PP.ceja",0.0224206916086567,0.0161697827185447,16584.8533068125,1766.33515663849,60.2959810075156,23,"Consolidation",0,0.0224206916086567,-0.0925556918046189,0,0
2014-04-01,"Ceja","observed",34160.23,3955.2,-70.74,2041,-0.00207082914839859,"PP.ceja",0.0242290299812846,0.0149179512680258,16737.0063694268,1937.87359137678,59.7478412762443,24,"Consolidation",0,0.0242290299812846,0.113482165479575,0,0
2014-05-01,"Ceja","observed",35453.44,4113.1,-86.83,2082,-0.00244912764459528,"PP.ceja",0.037857180703994,0.0200881920627143,17028.5494716619,1975.55235350624,58.724907935591,25,"Consolidation",0,0.037857180703994,0.0399221278317154,0,0
2014-06-01,"Ceja","observed",37130.91,4065.5,-22.72,2104,-0.000611889124182521,"PP.ceja",0.0473147316593256,0.0105667627281461,17647.7709125475,1932.27186311787,56.6643801619729,26,"Consolidation",0,0.0473147316593256,-0.0115727796552479,0,0
2014-07-01,"Ceja","observed",38609.18,4913.3,-188.21,2142,-0.00487474740463278,"PP.ceja",0.0398123827291061,0.018060836501901,18024.827264239,2293.7908496732,55.4790337427524,27,"Consolidation",0,0.0398123827291061,0.208535235518386,,
2012-03-01,"Global","observed",109.8333994,109.8333297,0,18,0,"PP.global",,,6101.85552222222,6101.85165,163.884575168671,1,"Launch",0,,,0,0
2012-04-01,"Global","observed",500.3463987,398.7431056,0,79,0,"PP.global",3.5555031660069,3.38888888888889,6333.49871772152,5047.3810835443,157.89061379328,2,"Launch",0,3.5555031660069,2.63043810734985,0,0
2012-05-01,"Global","observed",1380.0821646,904.0677571,0,188,0,"PP.global",1.75825341840319,1.37974683544304,7340.86257765957,4808.87104840425,136.223773353733,3,"Launch",0,1.75825341840319,1.26729376484046,0,0
2012-06-01,"Global","observed",3616.65,2326.3,0,337,0,"PP.global",1.62060483989244,0.792553191489362,10731.8991097923,6902.96735905045,93.1801529039304,4,"Launch",0,1.62060483989244,1.57314784398697,0,0
2012-07-01,"Global","observed",6089.38,2632.2,0,496,0,"PP.global",0.683707298190314,0.471810089020771,12276.9758064516,5306.85483870968,81.4532842424023,5,"Launch",0,0.683707298190314,0.131496367622405,0,0
2012-08-01,"Global","observed",10114.16,4353.4,0,722,0,"PP.global",0.660950704341,0.455645161290323,14008.5318559557,6029.63988919668,71.3850680629929,6,"Launch",0,0.660950704341,0.653901679203708,0,0
2012-09-01,"Global","observed",14038.5,4440.6,0,999,0,"PP.global",0.388004540169426,0.383656509695291,14052.5525525526,4445.04504504505,71.1614488727428,7,"Scale-up",0,0.388004540169426,0.0200303211283137,0.000298155945766777,0.000298155945766777
2012-10-01,"Global","observed",18614.42,5442.6,5.55,1318,0.000298155945766777,"PP.global",0.325955052177939,0.319319319319319,14123.2321699545,4129.43854324734,70.8053218956057,8,"Scale-up",0.000298155945766777,0.325656896232172,0.225645183083367,0,-0.000298155945766777
2012-11-01,"Global","observed",22189.75,4665.7,-5.55,1577,-0.000250115481246972,"PP.global",0.192073134698798,0.196509863429438,14070.8623969562,2958.59226379201,71.0688493561216,9,"Scale-up",0,0.192073134698798,-0.142744276632492,0.000405405458235223,0.000405405458235223
